GroupName, GroupOrder, E(G)value, E(G)value_decimal
S36,371993326789901217467999448150835200000000,115476423624556480196577408335021685860611110/371993326789901217467999448150835199999999,310.42606226583359
S37,13763753091226345046315979581580902400000000,4720685499577358484030325280507425097162048682/13763753091226345046315979581580902399999999,342.97952515484621
S38,523022617466601111760007224100074291200000000,196389192781091043421936803966754543496427673022/523022617466601111760007224100074291199999999,375.48891046500859
S39,20397882081197443358640281739902897356800000000,8359758408121058919071042191340746519554237679356/20397882081197443358640281739902897356799999999,409.83462767573292
S40,815915283247897734345611269596115894272000000000,366495637082344453216845927518417971156089667298190/815915283247897734345611269596115894271999999999,449.1834441725893
A3,3,3,3.
A4,12,30/11,2.7272727272727271
A5,60,210/59,3.5593220338983049
A6,360,1410/359,3.9275766016713094
A7,2520,12600/2519,5.0019849146486699
A8,20160,137046/20159,6.7982538816409548
A9,181440,1516830/181439,8.3599997795402317
A10,1814400,584250/58529,9.9822310307710715
A11,19958400,223179000/19958399,11.182209554984846
A12,239500800,2973194070/239500799,12.414130067265454
A13,3113510400,46287964866/3113510399,14.866809142781989
A14,43589145600,835826439630/43589145599,19.175104906143769
A15,653837184000,15722804528340/653837183999,24.046972110359583
A16,10461394944000,292673102609790/10461394943999,27.976489194462246
A17,177843714048000,5177400032329230/177843714047999,29.112077759081657
A18,3201186852864000,102538737981192606/3201186852863999,32.031475416517623
A19,60822550204416000,2284570602107946600/60822550204415999,37.561243230180708
A20,1216451004088320000,52889947305486263430/1216451004088319999,43.478896501158388
A21,25545471085854720000,1383094776042177419130/25545471085854719999,54.142465073115751
A22,562000363888803840000,35473249250584211527230/562000363888803839999,63.119619718970277
A23,12926008369442488320000,857709203012167441790316/12926008369442488319999,66.355303083341667
A24,310224200866619719680000,21786229199389181726087790/310224200866619719679999,70.227368266333698
A25,7755605021665492992000000,635784417194835546472448070/7755605021665492991999999,81.977410584829244
A26,201645730563302817792000000,19904777024707624744412879070/201645730563302817791999999,98.71162146157566
A27,5444434725209176080384000000,617906446172336505164206639920/5444434725209176080383999999,113.4932233297363
A28,152444172305856930250752000000,18764546046100828555682054273046/152444172305856930250751999999,123.091265230215
A29,4420880996869850977271808000000,580200572936007608549547778688850/4420880996869850977271807999999,131.24093893203894
A30,132626429906095529318154240000000,18515776977863183256594835249879710/132626429906095529318154239999999,139.6085002889171
A31,4111419327088961408862781440000000,647190075462131407299528038372151060/4111419327088961408862781439999999,157.41281148288181
A32,131565418466846765083609006080000000,24574469435804129556604149857002079550/131565418466846765083609006079999999,186.78517289858098
A33,4341658809405943247759097200640000000,937930580391636534491411569771363415646/4341658809405943247759097200639999999,216.03046705551029
A34,147616399519802070423809304821760000000,35336873880561799692194553805512338613630/147616399519802070423809304821759999999,239.38311729261162
A35,5166573983193072464833325668761600000000,1332487486219741662699734292146395659394200/5166573983193072464833325668761599999999,257.90543028210561
A36,185996663394950608733999724075417600000000,50544421990490122328924588811246645932326950/185996663394950608733999724075417599999999,271.74907908515894
A37,6881876545613172523157989790790451200000000,2016959198661172416959439296040244294882201770/6881876545613172523157989790790451199999999,293.08273481698473
A38,261511308733300555880003612050037145600000000,89506976161060357379211581119263686269883576766/261511308733300555880003612050037145599999999,342.26809002873017
A39,10198941040598721679320140869951448678400000000,3982997681519484764824382206061230987230625725180/10198941040598721679320140869951448678399999999,390.53051347825669
A40,407957641623948867172805634798057947136000000000,169820010217960509047161477962395134260937244795790/407957641623948867172805634798057947135999999999,416.2687320721862
